employee_id,employee_code,first_name,last_name,gender,date_of_birth,join_date,department,designation,manager_id,zone,region,state,city,hq_code,email,phone,employment_status,base_salary,incentive_plan,source_system,created_at,updated_at,batch_id,extra_notes
E100011,EMP1011,Riya,Mishra,Male,1986-11-04,2017-04-13,Marketing,Zonal Sales Manager,,North,Rajasthan,Rajasthan,Jaipur,HQ-N-145,,+91-8736381108,On Leave,"6,18,861.00",Plan C,SFA App,2025-07-18 22:27:35,2025-01-05 03:04:56,BATCH_20260313_003,Transferred
E100012,EMP1012,Swati,Joshi,Male,1991-05-11,2018-06-16,Sales,Medical Representative,E100001,Central,Madhya Pradesh,Madhya Pradesh,Indore,HQ-C-673,swati.joshi12@pharmaco.com,+91-8665720874,Active,"7,76,474.00",Plan A,CRM,2025-02-26 00:11:47,2025-06-20 13:51:42,BATCH_20260313_003,Transferred
E100013,EMP1013,Reyansh,Yadav,Male,1983-12-14,2017-06-30,Finance,Territory Business Executive,E100008,East,Odisha,Odisha,Rourkela,HQ-E-508,reyansh.yadav13@pharmaco.com,+91-9321412630,Active,"16,25,284.00",Plan C,SFA App,2025-11-26 17:21:01,2025-03-01 08:11:37,BATCH_20260313_002,
E100014,EMP1014,Priya,Jain,Male,1992-04-12,2016-04-18,Sales,Territory Business Executive,E100004,North,Rajasthan,Rajasthan,Jodhpur,HQ-N-803,priya.jain14@pharmaco.com,+91-8880327491,Active,"11,84,496.00",Plan A,Legacy ERP,2025-09-30 10:42:54,2025-03-05 23:57:19,BATCH_20260313_003,Promoted
E100015,EMP1015,Kiara,Joshi,Male,1992-01-03,2025/07/18,Sales,Medical Representative,E100003,West,Goa,Goa,Margao,HQ-W-721,kiara.joshi15@pharmaco.com,+91-7899061865,Active,"13,52,009.00",Plan B,CRM,2025-11-05 02:18:32,2025-12-06 20:39:21,BATCH_20260313_001,Transferred
E100016,EMP1016,Ishaan,Sharma,Female,1978-04-08,2021-11-08,Sales,Territory Business Executive,E100015,East,Odisha,Odisha,Bhubaneswar,HQ-E-771,ishaan.sharma16@pharmaco.com,+91-9695564089,Active,"5,03,529.00",Plan B,CRM,2024-06-29 22:33:29,2025-01-26 17:15:58,BATCH_20260313_001,New Joiner
E100017,EMP1017,Kavya,Joshi,Male,1994-11-08,2024-12-30,Marketing,Territory Business Executive,E100014,South,Andhra Pradesh,Andhra Pradesh,Guntur,HQ-S-365,kavya.joshi17@pharmaco.com,+91-7191043170,Active,"13,73,244.00",Plan B,CRM,2024-10-08 14:04:45,2025-05-27 07:17:21,BATCH_20260313_002,Backfill
E100018,EMP1018,Siya,Yadav,Female,1993-08-11,2015-09-21,Medical Affairs,Zonal Sales Manager,,North,Punjab,Punjab,Ludhiana,HQ-N-812,,+91-8472571231,Active,"2,92,364.00",Plan B,Legacy ERP,2025-02-03 13:34:47,2026-01-12 17:51:38,BATCH_20260313_001,New Joiner
E100019,EMP1019,Divya,Sharma,Male,1993-02-19,2023-12-14,Sales,Regional Sales Manager,E100015,South,Telangana,Telangana,Warangal,HQ-S-778,,+91-6582824840,Active,"6,61,113.00",Plan A,Legacy ERP,2025-01-23 10:13:29,2025-06-17 10:48:56,BATCH_20260313_002,Promoted
E100020,EMP1020,Naveen,Sharma,Male,1990-09-12,2025-09-04,Supply Chain,Medical Representative,E100003,West,Goa,Goa,Panaji,HQ-W-736,naveen.sharma20@pharmaco.com,+91-8875303857,Active,"7,37,104.00",Plan B,Legacy ERP,2025-01-12 05:38:38,2026-01-18 22:07:49,BATCH_20260313_001,Promoted
E100021,EMP1021,Meera,Kulkarni,Male,1983-11-24,2019-06-13,Medical Affairs,Territory Business Executive,E100008,North,Rajasthan,Rajasthan,Jaipur,HQ-N-142,meera.kulkarni21@pharmaco.com,+91-7591589823,Active,"16,37,996.00",Plan B,SAP,2025-03-06 15:06:27,2025-07-05 20:57:53,BATCH_20260313_002,Transferred
E100022,EMP1022,Kavya,Mehta,Male,1996-09-08,2023-09-08,Marketing,Territory Business Executive,E100019,West,Gujarat,Gujarat,Vadodara,HQ-W-868,kavya.mehta22@pharmaco.com,+91-7627746667,Active,"13,16,635.00",Plan B,CRM,2025-05-14 06:22:51,2025-05-13 10:17:56,BATCH_20260313_003,Promoted
E100023,EMP1023,Diya,Patel,Male,12-10-1985,2021-03-24,Sales,Medical Representative,E100021,Central,Madhya Pradesh,Madhya Pradesh,Gwalior,HQ-C-349,diya.patel23@pharmaco.com,+91-8032638323,Active,"10,00,911.00",Plan B,Legacy ERP,2024-12-26 22:29:17,2025-06-06 08:14:07,BATCH_20260313_003,Transferred
E100024,EMP1024,Harsh,Iyer,Male,2001-06-12,2018-02-06,Sales,Product Executive,,East,West Bengal,West Bengal,Durgapur,HQ-E-469,harsh.iyer24@pharmaco.com,660081,Active,"3,75,453.00",Plan A,Legacy ERP,2025-12-15 04:40:55,2026-01-21 15:06:55,BATCH_20260313_001,Backfill
E100025,EMP1025,Nisha,JAIN,Male,1996/06/06,2025-07-21,Sales,Medical Representative,E100003,East,Jharkhand,Jharkhand,Jamshedpur,HQ-E-187,nisha.jain25@pharmaco.com,+91-9283259600,Active,"15,30,168.00",Plan C,CRM,2025-06-19 12:28:58,2025-08-15 09:55:37,BATCH_20260313_002,Promoted
E100026,EMP1026,Shreya,Reddy,Male,14/11/1986,2017-05-14,HR,Medical Representative,E100006,Central,Rajasthan,Rajasthan,Jaipur,HQ-C-581,shreya.reddy26@pharmaco.com,+91-9036352185,Active,"12,32,172.00",Plan A,CRM,2024-09-27 20:37:42,2026-02-16 06:27:07,BATCH_20260313_003,Transferred
E100027,EMP1027,Arjun,Verma,Female,2000-07-13,2023-05-26,Sales,Medical Representative,,South,Telangana,Telangana,Hyderabad,HQ-S-612,arjun.verma27@pharmaco.com,+91-8568547910,Active,"11,86,029.00",Plan C,Legacy ERP,2025-09-10 08:01:05,2025-04-28 21:53:55,BATCH_20260313_003,Backfill
E100028,EMP1028,Aditya,Iyer,Male,1987-06-24,2025-04-10,Sales,Regional Sales Manager,E100019,North,Haryana,Haryana,Panipat,HQ-N-428,aditya.iyer28@pharmaco.com,+91-7416495962,Active,"13,19,073.00",Plan B,SFA App,2025-07-17 01:29:05,2025-06-11 08:20:07,BATCH_20260313_002,Backfill
E100029,EMP1029, Pooja  ,Verma,Female,1997-05-12,2023-06-26,Sales,Medical Representative,E100025,North,Rajasthan,Rajasthan,Jodhpur,HQ-N-224,,+91-9433026356,Active,"6,12,143.00",Plan B,SAP,2025-07-19 13:05:14,2026-03-07 03:29:07,BATCH_20260313_003,Transferred
E100030,EMP1030,Riya,Kapoor,Male,1995-06-28,2017-09-25,Finance,Territory Business Executive,E100013,West,Goa,Goa,Vasco da Gama,HQ-W-908,riya.kapoor30@pharmaco.com,+91-9383220511,Active,"2,85,379.00",Plan B,Legacy ERP,2025-08-24 18:42:31,2025-03-18 14:34:30,BATCH_20260313_002,Promoted
E100031,EMP1031,Vikram,JAin,Female,2000-08-25,2017-09-05,Finance,Territory Business Executive,E100028,Central,Rajasthan,Rajasthan,Jodhpur,HQ-C-940,vikram.jain31@pharmaco.com,+91-6158998032,Active,"15,17,698.00",Plan B,SAP,2025-03-26 03:33:58,2025-08-22 00:46:09,BATCH_20260313_002,Transferred
E100032,EMP1032,Neha,Chawla,Female,1989-09-27,2024-07-20,Medical Affairs,Regional Sales Manager,E100028,North,Uttar Pradesh,Uttar Pradesh,Varanasi,HQ-N-340,neha.chawla32@pharmaco.com,+91-6977046129,Active,"11,90,104.00",Plan A,SAP,2025-03-30 05:44:19,2025-01-15 01:20:50,BATCH_20260313_001,Promoted
E100033,EMP1033,Ishaan,Gupta,Male,1983-01-29,2023-11-21,Sales,Area Sales Manager,E100006,East,Bihar,Bihar,Gaya,HQ-E-337,ishaan.gupta33@pharmaco.com,+91-7096619850,Active,"12,55,706.00",Plan B,CRM,2024-03-16 14:22:37,2025-06-03 20:27:44,BATCH_20260313_002,New Joiner
E100034,EMP1034,Naveen,Reddy,Female,1988-04-09,2021-06-12,Sales,Area Sales Manager,,East,Odisha,Odisha,Cuttack,HQ-E-802,naveen.reddy34@pharmaco.com,+91-9911070030,Active,"13,21,712.00",Plan B,CRM,2025-09-13 11:14:40,2025-04-08 19:16:43,BATCH_20260313_003,Transferred
E100035,EMP1035,Nisha,Verma,Female,1988-03-28,2016-01-05,Marketing,Product Executive,E100027,North,Delhi,Delhi,Noida,HQ-N-950,nisha.verma35@pharmaco.com,+91-8069520666,On Leave,"8,98,956.00",Plan C,Legacy ERP,2024-04-27 14:04:09,2026-01-22 07:55:43,BATCH_20260313_003,New Joiner
E100036,EMP1036,Karan,Sharma,Male,1986-10-05,2019-02-18,Sales,Medical Representative,E100024,Central,Uttar Pradesh,Uttar Pradesh,Lucknow,HQ-C-435,karan.sharma36@pharmaco.com,+91-6271515109,Active,"12,53,639.00",Plan C,Legacy ERP,2025-10-26 13:07:08,2025-01-24 01:19:31,BATCH_20260313_001,
E100037,EMP1037,Sneha,Bose,Female,1999-03-26,2022-10-23,Sales,Territory Business Executive,E100010,South,Kerala,Kerala,Kochi,HQ-S-386,,+91-7904315855,Active,"7,75,164.00",Plan B,SAP,2025-12-03 11:34:57,2025-11-27 11:03:25,BATCH_20260313_002,Transferred
E100038,EMP1038,Myra,Chawla,Male,1985-12-04,2018-09-28,HR,Medical Representative,,North,Uttar Pradesh,Uttar Pradesh,Lucknow,HQ-N-338,myra.chawla38@pharmaco.com,+91-9867751337,Active,"8,61,487.00",Plan A,CRM,2025-07-07 08:51:11,2025-02-26 21:55:01,BATCH_20260313_001,
E100039,EMP1039,Rahul,Sharma,Male,1993-11-19,2023-04-27,Sales,Medical Representative,E100005,East,Odisha,Odisha,Rourkela,HQ-E-729,,+91-9723654635,Active,"9,12,564.00",Plan B,SAP,2024-03-03 15:54:25,2025-08-07 21:06:31,BATCH_20260313_003,New Joiner
E100040,EMP1040,Nitin,Nair,Female,2001-04-04,2022-02-06,Sales,Medical Representative,E100021,North,Delhi,Delhi,Noida,HQ-N-201,nitin.nair40@pharmaco.com,+91-8811970742,Active,"18,92,631.00",Plan C,CRM,2025-03-16 14:56:14,2025-07-31 10:52:29,BATCH_20260313_002,New Joiner
E100041,EMP1041,Rahul,Mehta,Female,1996-04-10,2025-05-08,Sales,Medical Representative,E100006,North,Haryana,Haryana,Faridabad,HQ-N-700,rahul.mehta41@pharmaco.com,+91-8877685081,Active,"10,21,548.00",Plan C,SFA App,2024-02-22 09:38:19,2025-06-30 03:36:32,BATCH_20260313_001,Transferred
E100042,EMP1042,Priya,Joshi,Male,1985-02-22,2021-06-09,Sales,Product Executive,E100036,West,Gujarat,Gujarat,Ahmedabad,HQ-W-810,priya.joshi42@pharmaco.com,+91-9018068234,Active,"9,92,663.00",Plan B,SAP,2024-07-04 04:36:42,2025-07-25 02:09:47,BATCH_20260313_003,
,EMP1043,Sneha,Kapoor,Male,1989/07/20,2018-06-30,Sales,Medical Representative,E100037,North,Rajasthan,Rajasthan,Jaipur,HQ-N-378,sneha.kapoor43@pharmaco.com,+91-8607371597,Active,"8,52,872.00",Plan A,SAP,2024-12-19 13:07:18,2025-12-14 21:37:31,BATCH_20260313_003,Promoted
E100044,EMP1044,Nitin,VErma,Male,1981/02/26,2017-05-15,Sales,Medical Representative,E100019,North,Punjab,Punjab,Amritsar,HQ-N-612,nitin.verma44@pharmaco.com,+91-7521136431,Active,"18,36,173.00",Plan A,SFA App,2024-01-20 14:58:04,2025-06-10 18:27:36,BATCH_20260313_002,New Joiner
E100045,EMP1045,Vivaan,Jain,Male,1991-03-26,2020-02-28,Sales,Territory Business Executive,E100007,East,West Bengal,West Bengal,Siliguri,HQ-E-447,vivaan.jain45@pharmaco.com,+91-6328046924,Active,"5,19,131.00",Plan C,CRM,2024-12-23 11:46:52,2025-11-27 04:15:06,BATCH_20260313_001,Promoted
E100046,EMP1046,Ishaan,Patel,Female,1995-10-24,2020-07-16,Sales,Product Executive,E100038,South,Tamil Nadu,Tamil Nadu,Madurai,HQ-S-254,ishaan.patel46@pharmaco.com,+91-8711778437,Active,"8,56,032.00",Plan C,SAP,2024-12-26 16:04:19,2025-08-25 14:02:03,BATCH_20260313_002,Promoted
E100047,EMP1047,Nitin,Pillai,Female,1976-11-03,2025-09-13,Sales,Area Sales Manager,E100037,North,Delhi,Delhi,Gurugram,HQ-N-561,nitin.pillai47@pharmaco.com,+91-7475054001,On Leave,"4,56,851.00",Plan C,CRM,2024-02-10 07:45:28,2025-08-13 16:33:39,BATCH_20260313_001,Promoted
E100048,EMP1048,Pooja,Jain,Female,1990-01-04,2022-01-28,Medical Affairs,Medical Representative,E100007,East,Bihar,Bihar,Gaya,HQ-E-717,pooja.jain48@pharmaco.com,+91-8502847163,Active,"10,13,627.00",Plan B,SFA App,2024-05-12 19:45:05,2025-06-08 17:24:41,BATCH_20260313_002,Transferred
E100049,EMP1049,Rohit,Pillai,Male,1984-08-10,2017-01-08,Sales,Medical Representative,E100032,Central,Madhya Pradesh,Madhya Pradesh,Gwalior,HQ-C-652,rohit.pillai49@pharmaco.com,+91-6162124225,Active,"18,87,063.00",Plan C,CRM,2025-09-03 12:09:10,2025-04-03 22:49:39,BATCH_20260313_001,New Joiner
E100050,EMP1050,Ira,Bose,Female,1995-02-20,16 Oct 2023,Marketing,Product Executive,E100016,North,Uttar Pradesh,Uttar Pradesh,Varanasi,HQ-N-684,ira.bose50@pharmaco.com,+91-7210200352,Active,"13,34,671.00",Plan C,SFA App,2024-06-14 06:51:38,2025-03-12 08:03:41,BATCH_20260313_002,Promoted
E100051,EMP1051,Kavya,Reddy,Male,1995-02-26,2018-01-22,Sales,Product Executive,E100010,Central,Madhya Pradesh,Madhya Pradesh,Gwalior,HQ-C-127,kavya.reddy51@pharmaco.com,+91-7606152369,Active,"4,51,139.00",Plan B,CRM,2024-01-29 10:59:06,2026-03-06 22:41:21,BATCH_20260313_001,Transferred
E100052,EMP1052,Krishna,Das,Female,11/08/1975,2015-11-21,Sales,Medical Representative,E100010,North,Haryana,Haryana,Faridabad,HQ-N-224,,+91-9409770698,Active,"4,11,716.00",Plan A,SFA App,2025-09-03 17:01:40,2025-09-21 18:15:45,BATCH_20260313_001,Promoted
E100053,EMP1053,IRA,Kulkarni,Female,25/06/1998,2015-12-17,Sales,Regional Sales Manager,,West,Maharashtra,Maharashtra,Nagpur,HQ-W-359,ira.kulkarni53@pharmaco.com,+91-6290166087,Active,"18,17,088.00",Plan C,SAP,2025-08-18 23:48:21,2025-03-10 01:22:34,BATCH_20260313_002,Transferred
E100054,EMP1054,Aadhya,Nair,Female,1976-08-28,2020-02-18,Sales,Product Executive,E100003,West,Madhya Pradesh,Madhya Pradesh,Gwalior,HQ-W-934,aadhya.nair54@pharmaco.com,+91-9235359859,Active,"8,80,018.00",Plan B,SAP,2025-11-02 10:17:07,2026-02-14 11:27:56,BATCH_20260313_002,New Joiner
E100055,EMP1055,Divya,Das,Male,1978-09-15,2017-12-28,Sales,Product Executive,E100006,West,Goa,Goa,Panaji,HQ-W-181,divya.das55@pharmaco.com,+91-7915193614,Active,"11,73,630.00",Plan A,SFA App,2024-12-25 14:02:46,2025-06-30 19:27:17,BATCH_20260313_003,
E100056,EMP1056,Siddharth,Iyer,Female,1994-08-28,2021-10-24,HR,Medical Representative,E100005,North,Uttar Pradesh,Uttar Pradesh,Varanasi,HQ-N-719,siddharth.iyer56@pharmaco.com,+91-7593280440,Active,"18,80,304.00",Plan A,CRM,2025-06-26 11:25:20,2025-11-29 08:15:07,BATCH_20260313_001,Transferred
E100057,EMP1057,Anjali,Reddy,Female,1984-08-16,2020-01-02,Sales,Medical Representative,,West,Chhattisgarh,Chhattisgarh,Bilaspur,HQ-W-562,anjali.reddy57@pharmaco.com,+91-6377058351,Active,"9,50,224.00",Plan C,Legacy ERP,2025-12-27 02:35:34,2025-05-29 09:54:10,BATCH_20260313_003,Transferred
E100058,EMP1058,Ayaan,Singh,Male,1976-03-06,07/16/2020,Supply Chain,Medical Representative,E100037,East,Assam,Assam,Guwahati,HQ-E-507,ayaan.singh58@pharmaco.com,+91-8257845661,Active,"11,38,644.00",Plan C,SAP,2024-05-08 10:41:04,2025-08-19 14:43:33,BATCH_20260313_002,Transferred
E100059,EMP1059,Krishna,Kapoor,Male,1980-07-27,not available,Sales,Territory Business Executive,E100020,Central,Rajasthan,Rajasthan,Jaipur,HQ-C-390,krishna.kapoor59@pharmaco.com,+91-8727549434,Inactive,"8,55,565.00",Plan A,Legacy ERP,2025-09-21 17:05:32,2025-11-25 05:37:37,BATCH_20260313_001,Transferred
E100060,EMP1060,Manish,Verma,Male,2000-11-14,2015-07-06,Supply Chain,Medical Representative,E100014,Central,Rajasthan,Rajasthan,Jodhpur,HQ-C-396,manish.verma60@pharmaco.com,+91-7051742593,Active,"17,16,529.00",Plan B,Legacy ERP,2025-04-09 02:44:03,2025-03-22 14:26:30,BATCH_20260313_002,Transferred
E100061,EMP1061,Rahul,Jain,Male,1992-11-19,2025-12-09,Supply Chain,Territory Business Executive,E100024,East,Assam,Assam,Guwahati,HQ-E-353,rahul.jain61@pharmaco.com,+91-7649910946,Active,"11,56,892.00",Plan A,CRM,2024-12-01 18:46:20,2025-04-08 05:31:32,BATCH_20260313_002,New Joiner
E100062,EMP1062,Sai,Yadav,Female,2001-03-02,2017-05-31,Sales,Territory Business Executive,E100004,East,Jharkhand,Jharkhand,Ranchi,HQ-E-541,sai.yadav62@pharmaco.com,+91-7571002995,Active,"10,47,426.00",Plan A,SFA App,2024-02-22 18:35:12,2025-07-05 17:18:04,BATCH_20260313_002,Backfill
E100063,EMP1063,Shreya,Chawla,Male,1991-09-28,2019-06-02,Sales,Territory Business Executive,E100022,West,Chhattisgarh,Chhattisgarh,Bilaspur,HQ-W-612,,+91-9064853643,Active,"12,73,513.00",Plan C,SFA App,2024-06-01 19:57:32,2025-03-13 10:59:39,BATCH_20260313_002,Transferred
E100064,EMP1064,Meera, Kulkarni  ,Male,1996-12-21,2020-12-20,Sales,Territory Business Executive,E100020,West,Chhattisgarh,Chhattisgarh,Durg,HQ-W-915,meera.kulkarni64@pharmaco.com,+91-8702653209,Active,"12,75,287.00",Plan B,CRM,2024-02-22 18:30:10,2025-09-26 20:46:39,BATCH_20260313_002,Transferred
E100065,EMP1065,Ayaan,Singh,Female,1993-07-10,2016-09-12,Sales,Medical Representative,E100053,South,Karnataka,Karnataka,Hubballi,HQ-S-163,ayaan.singh65@pharmaco.com,+91-8408990341,Active,"16,68,790.00",Plan B,SFA App,2024-11-17 05:29:58,2025-09-30 10:34:22,BATCH_20260313_003,Promoted
E100066,EMP1066,Ira,Mehta,Female,1988-05-08,2025-11-29,Marketing,Medical Representative,E100027,Central,Bihar,Bihar,Patna,HQ-C-914,ira.mehta66@pharmaco.com,+91-8463064097,Active,"10,76,276.00",Plan B,Legacy ERP,2024-05-29 09:02:18,2026-01-01 02:22:59,BATCH_20260313_002,Promoted
E100067,EMP1067,Harsh,Mehta,Male,1979-11-25,16/07/2016,HR,Zonal Sales Manager,,West,Gujarat,Gujarat,Ahmedabad,HQ-W-438,harsh.mehta67@pharmaco.com,+91-9310415016,Active,"14,34,172.00",Plan A,SFA App,2025-10-30 15:30:41,2025-04-13 09:20:18,BATCH_20260313_003,
E100068,EMP1068,HArsh,Verma,Male,1982-11-20,2024-11-22,HR,Medical Representative,,North,Rajasthan,Rajasthan,Jaipur,HQ-N-396,harsh.verma68@pharmaco.com,695551,Active,"9,82,634.00",Plan B,SFA App,2025-10-18 17:33:31,2025-03-10 16:29:17,BATCH_20260313_001,
E100069,EMP1069,Vikram,Mehta,Female,1988-03-26,2018-10-12,Medical Affairs,Medical Representative,E100025,East,Odisha,Odisha,Rourkela,HQ-E-188,vikram.mehta69@pharmaco.com,+91-6603923411,Active,"8,00,192.00",Plan A,Legacy ERP,2025-01-27 07:28:48,2025-05-17 10:19:37,BATCH_20260313_003,Backfill
E100070,EMP1070,Amit,Gupta,Female,1982-03-01,2018-06-10,Sales,Medical Representative,E100065,North,Haryana,Haryana,Panipat,HQ-N-402,amit.gupta70@pharmaco.com,+91-6573673552,Active,"12,34,159.00",Plan C,Legacy ERP,2025-03-01 22:35:58,2025-08-30 17:51:42,BATCH_20260313_001,Transferred
E100071,EMP1071,Nisha,Pillai,Male,1980-01-13,2021-04-29,Medical Affairs,Medical Representative,E100065,Central,Madhya Pradesh,Madhya Pradesh,Gwalior,HQ-C-219,nisha.pillai71@pharmaco.com,+91-8099500153,Active,"13,50,334.00",Plan B,SAP,2025-04-09 04:32:26,2025-08-22 18:03:35,BATCH_20260313_002,Promoted
E100072,EMP1072,Aarav,SIngh,Male,1977-11-10,12-11-2018,Marketing,Medical Representative,E100008,North,Uttar Pradesh,Uttar Pradesh,Varanasi,HQ-N-884,aarav.singh72@pharmaco.com,+91-7805440796,Active,"10,82,117.00",Plan B,SFA App,2025-01-19 02:43:42,2025-10-04 04:41:55,BATCH_20260313_002,
E100073,EMP1073,Kavya,Nair,Female,1976-01-08,2015-01-15,Medical Affairs,Medical Representative,,South,Kerala,Kerala,Thiruvananthapuram,HQ-S-353,kavya.nair73@pharmaco.com,+91-6809517372,Inactive,"18,00,485.00",Plan A,SAP,2025-11-07 13:39:49,2025-01-09 07:13:04,BATCH_20260313_001,Backfill
E100074,EMP1074,Ira,Verma,Female,1977-07-13,2017-06-08,Sales,Medical Representative,E100038,North,Uttar Pradesh,Uttar Pradesh,Lucknow,HQ-N-938,ira.verma74@pharmaco.com,+91-6615298850,On Leave,"13,73,142.00",Plan A,SFA App,2024-11-03 08:03:35,2025-10-30 23:58:11,BATCH_20260313_003,New Joiner
E100075,EMP1075,Priya,Yadav,Male,1993-04-24,2019-09-02,Supply Chain,Medical Representative,E100049,Central,Bihar,Bihar,Patna,HQ-C-824,priya.yadav75@pharmaco.com,+91-6247492925,Active,"11,53,480.00",Plan C,CRM,2025-02-01 07:16:13,2025-06-19 20:05:59,BATCH_20260313_002,Promoted
E100076,EMP1076,Diya,Verma,Male,1976-10-09,2021-10-05,Sales,Regional Sales Manager,E100025,North,Rajasthan,Rajasthan,Udaipur,HQ-N-440,diya.verma76@pharmaco.com,+91-6909707455,Inactive,"18,34,986.00",Plan A,SFA App,2024-09-05 22:38:45,2025-04-15 12:58:15,BATCH_20260313_003,Promoted
E100077,EMP1077,Harsh,Agarwal,Male,1997-04-22,2024-11-24,Sales,Medical Representative,E100061,East,Jharkhand,Jharkhand,Jamshedpur,HQ-E-676,harsh.agarwal77@pharmaco.com,+91-6069663945,Active,"15,04,803.00",Plan C,SFA App,2024-10-29 04:12:21,2025-04-28 12:36:53,BATCH_20260313_001,New Joiner
E100078,EMP1078,Divya,Das,Male,1982-08-05,2018-12-13,Sales,Product Executive,E100070,Central,Uttar Pradesh,Uttar Pradesh,Varanasi,HQ-C-176,divya.das78@pharmaco.com,+91-9282810353,Active,"5,68,340.00",Plan C,CRM,2024-03-10 22:09:00,2025-04-22 16:29:23,BATCH_20260313_001,Backfill
E100079,EMP1079,Divya,Sharma,Female,1975-10-02,2015-02-18,Sales,Area Sales Manager,E100036,Central,Bihar,Bihar,Muzaffarpur,HQ-C-209,divya.sharma79@pharmaco.com,+91-7034953269,Active,"13,84,058.00",Plan B,Legacy ERP,2024-09-30 12:05:23,2025-07-27 14:36:15,BATCH_20260313_003,Transferred
E100080,EMP1080,Aditya,Patel,Female,1977-07-08,2020-05-03,Sales,Medical Representative,E100022,East,West Bengal,West Bengal,Durgapur,HQ-E-197,aditya.patel80@pharmaco.com,+91-6986839603,Active,"17,31,832.00",Plan C,SFA App,2024-10-04 01:59:04,2025-12-17 08:57:34,BATCH_20260313_003,
E100081,EMP1081,Myra,Kulkarni,Female,1992-11-12,2024-03-16,Sales,Territory Business Executive,,South,Telangana,Telangana,Hyderabad,HQ-S-493,myra.kulkarni81@pharmaco.com,+91-8960566236,Active,"13,30,238.00",Plan C,Legacy ERP,2024-02-24 03:27:14,2026-03-06 02:21:38,BATCH_20260313_003,Backfill
